cos,-150.0,-0.8660254032404094
sin,-150.0,-0.5000000009422862
cos,-150.0,-0.8660254032404094
sin,-150.0,-0.5000000009422862
cos,-150.0,-0.8660254032404094
cot,-150.0,1.7320508032166435
cos,-150.0,-0.8660254032404094
sec,-150.0,-1.154700539104624
cos,-150.0,-0.8660254032404094
sin,-150.0,-0.5000000009422862
csc,-150.0,-1.999999996230855
system,-150.0,2.6985763256873505
cos,-140.0,-0.7660444431802892
sin,-140.0,-0.6427876096134715
cos,-140.0,-0.7660444431802892
sin,-140.0,-0.6427876096134715
cos,-140.0,-0.7660444431802892
cot,-140.0,1.1917535928250638
cos,-140.0,-0.7660444431802892
sec,-140.0,-1.305407289227799
cos,-140.0,-0.7660444431802892
sin,-140.0,-0.6427876096134715
csc,-140.0,-1.5557238270372566
system,-140.0,0.875134896496139
cos,-130.0,-0.6427876098162837
sin,-130.0,-0.7660444430101095
cos,-130.0,-0.6427876098162837
sin,-130.0,-0.7660444430101095
cos,-130.0,-0.6427876098162837
cot,-130.0,0.8390996314659002
cos,-130.0,-0.6427876098162837
sec,-130.0,-1.555723826546395
cos,-130.0,-0.6427876098162837
sin,-130.0,-0.7660444430101095
csc,-130.0,-1.3054072895178002
system,-130.0,0.03126310746406576
cos,-120.0,-0.5000000002716433
sin,-120.0,-0.8660254036276054
cos,-120.0,-0.5000000002716433
sin,-120.0,-0.8660254036276054
cos,-120.0,-0.5000000002716433
cot,-120.0,0.5773502696078479
cos,-120.0,-0.5000000002716433
sec,-120.0,-1.999999998913427
cos,-120.0,-0.5000000002716433
sin,-120.0,-0.8660254036276054
csc,-120.0,-1.1547005385883626
system,-120.0,1.33333332512367
cos,-110.0,-0.34202014388744817
sin,-110.0,-0.9396926205814374
cos,-110.0,-0.34202014388744817
sin,-110.0,-0.9396926205814374
cos,-110.0,-0.34202014388744817
cot,-110.0,0.3639702349432331
cos,-110.0,-0.34202014388744817
sec,-110.0,-2.9238043953606416
cos,-110.0,-0.34202014388744817
sin,-110.0,-0.9396926205814374
csc,-110.0,-1.0641777727074702
system,-110.0,24.22252937267315
cos,-100.0,-0.1736481776021851
sin,-100.0,-0.9848077530236244
cos,-100.0,-0.1736481776021851
sin,-100.0,-0.9848077530236244
cos,-100.0,-0.1736481776021851
cot,-100.0,0.17632698064067684
cos,-100.0,-0.1736481776021851
sec,-100.0,-5.758770485290809
cos,-100.0,-0.1736481776021851
sin,-100.0,-0.9848077530236244
csc,-100.0,-1.0154266118739737
system,-100.0,718.8834280126143
cos,-90.0,1.36174431894936E-10
sin,-90.0,-1.0
cos,-90.0,1.36174431894936E-10
sin,-90.0,-1.0
cos,-90.0,1.36174431894936E-10
cot,-90.0,-1.36174431894936E-10
cos,-90.0,1.36174431894936E-10
sec,-90.0,NaN
cos,-90.0,1.36174431894936E-10
sin,-90.0,-1.0
csc,-90.0,-1.0
system,-90.0,NaN
cos,-80.0,0.17364817794529
sin,-80.0,-0.9848077529631257
cos,-80.0,0.17364817794529
sin,-80.0,-0.9848077529631257
cos,-80.0,0.17364817794529
cot,-80.0,-0.17632698099990682
cos,-80.0,0.17364817794529
sec,-80.0,5.7587704739122705
cos,-80.0,0.17364817794529
sin,-80.0,-0.9848077529631257
csc,-80.0,-1.0154266119363533
system,-80.0,1482.805917371437
cos,-70.0,0.3420201438951701
sin,-70.0,-0.9396926205786268
cos,-70.0,0.3420201438951701
sin,-70.0,-0.9396926205786268
cos,-70.0,0.3420201438951701
cot,-70.0,-0.3639702349525392
cos,-70.0,0.3420201438951701
sec,-70.0,2.9238043952946295
cos,-70.0,0.3420201438951701
sin,-70.0,-0.9396926205786268
csc,-70.0,-1.0641777727106532
system,-70.0,124.20064229095955
cos,-60.0,0.49999999993100525
sin,-60.0,-0.8660254038242728
cos,-60.0,0.49999999993100525
sin,-60.0,-0.8660254038242728
cos,-60.0,0.49999999993100525
cot,-60.0,-0.5773502690834014
cos,-60.0,0.49999999993100525
sec,-60.0,2.0000000002759792
cos,-60.0,0.49999999993100525
sin,-60.0,-0.8660254038242728
csc,-60.0,-1.1547005383261393
system,-60.0,33.3333333486655
cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
cos,-50.0,0.642787609544643
cot,-50.0,-0.8390996308616274
cos,-50.0,0.642787609544643
sec,-50.0,1.5557238272038407
cos,-50.0,0.642787609544643
sin,-50.0,-0.7660444432380432
csc,-50.0,-1.305407289129381
system,-50.0,15.092391172072194
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
cos,-40.0,0.7660444428345752
cot,-40.0,-1.191753591523353
cos,-40.0,0.7660444428345752
sec,-40.0,1.3054072898169262
cos,-40.0,0.7660444428345752
sin,-40.0,-0.6427876100254775
csc,-40.0,-1.5557238260400883
system,-40.0,9.773251487526997
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
cos,-30.0,0.8660254032180265
cot,-30.0,-1.7320508030375799
cos,-30.0,0.8660254032180265
sec,-30.0,1.1547005391344678
cos,-30.0,0.8660254032180265
sin,-30.0,-0.5000000009810547
csc,-30.0,-1.9999999960757813
system,-30.0,8.856979208451564
cos,-20.0,0.9396926208563291
sin,-20.0,-0.3420201431321895
cos,-20.0,0.9396926208563291
sin,-20.0,-0.3420201431321895
cos,-20.0,0.9396926208563291
cot,-20.0,-2.747477421214754
